City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
532,emboscada,-25.15,-57.35,287.18,72,100,4.63,PY,1686773188
533,veracruz,19.3333,-96.6667,311.24,28,0,3.74,MX,1686773011
534,waingapu,-9.6567,120.2641,295.58,88,98,3.08,ID,1686773189
535,miches,18.9836,-69.0476,303.26,69,100,3.53,DO,1686773190
536,monrovia,6.3005,-10.7969,299.02,77,89,4.98,LR,1686773165
537,inarajan village,13.2736,144.7484,300.81,89,97,6.66,GU,1686773191
538,quesnel,52.9999,-122.5029,287.43,54,75,6.69,CA,1686773191
539,al khafji,28.4391,48.4913,306.44,34,0,5.71,SA,1686773192
540,az zubayr,30.3945,47.7011,307.07,29,0,5.14,IQ,1686773074
541,bloomfield,40.8068,-74.1854,294.98,74,20,7.2,US,1686773193
542,xai-xai,-25.0519,33.6442,292.94,31,0,4.59,MZ,1686773193
543,porto novo,6.4965,2.6036,301.05,78,100,3.79,BJ,1686773194
544,codrington,-38.2667,141.9667,284.74,93,100,7.57,AU,1686773194
545,malvan,16.0667,73.4667,301.36,81,41,5.13,IN,1686773195
546,hanceville,34.0607,-86.7675,298.09,85,69,4.51,US,1686773195
547,jogeva,58.7467,26.3939,287.23,59,1,1.63,EE,1686773196
548,el granada,37.5027,-122.4694,300.06,71,100,3.6,US,1686773196
549,diego de almagro,-26.3667,-70.05,296.51,7,38,2.47,CL,1686773197
550,capitan bado,-23.2667,-55.5333,279.53,98,100,2.59,PY,1686773197
551,brisas de zicatela,15.8369,-97.0419,306.44,58,40,3.09,MX,1686773197
552,alexandreia,40.6267,22.4442,296.84,89,73,0.5,GR,1686773198
553,houghton,47.1219,-88.569,287.86,79,100,3.09,US,1686773198
554,pontes e lacerda,-15.2261,-59.3353,286.83,67,99,2.98,BR,1686773199
555,cannonvale,-20.2833,148.7,293.81,82,24,1.81,AU,1686773200
556,revda,56.801,59.9303,282.94,70,22,2.12,RU,1686773200
557,kantunilkin,21.0917,-87.45,308.98,35,0,4.31,MX,1686773078
558,talcahuano,-36.7167,-73.1167,288.97,55,0,5.66,CL,1686772925
559,brak,27.5496,14.2714,310.01,13,83,4.46,LY,1686773202
560,okhotsk,59.3833,143.3,280.53,97,100,3.64,RU,1686773203
561,nichinan,31.6,131.3667,294.07,91,100,2.76,JP,1686773203
